broker_name,broker_email,broker_telephone,broker_type,broker_address,broker_postcode,broker_agency_name,customer_name,customer_address,customer_postcode,business_description,trade_description,renewal_date,target_premium,response_by,current_insurer,product,existing_broker,case_rec_date,el_wageroll_table,case,date,email_subject
True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,False,True,00201512,2024-01-22 14:55:53,new business - ue group ltd - commercial combined - £33k - 21st juneimportance: high
True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,00201513,2024-01-22 14:56:17,new business - beau monde estate ltd
True,True,True,True,True,False,False,False,True,True,True,False,True,False,False,True,True,False,True,True,00201514,2024-01-22 14:56:17,new business - combined presentation
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,00201515,2024-01-22 14:57:44,"new business enquiry - galloways bakers limited - quotes required by thursday, 15th june 2023!importance: high"
False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,00201516,2024-01-22 14:58:31,fw: new business case - nedging hall estate ltd - renewal date 01/06/23
True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,False,False,True,00201517,2024-01-25 10:43:37,new business enquiry / tyrone textiles ltd / due 30/06
True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,False,True,00201518,2024-01-22 15:09:23,new business opportunity...
True,True,True,True,True,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,00201519,2024-01-22 15:09:21,new business presentation - commercial combined - talk direct
True,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,True,True,True,True,00201520,2024-01-22 15:09:27,commercial combined presentation - 31st may 2023
True,True,True,True,True,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,00201521,2024-01-22 15:09:27,new business quote commercial combined - newson health due 6th june
True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,False,True,00201522,2024-01-22 15:10:08,new business quotation - galebreaker group ltd - our ref 18264951
True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,00201523,2024-01-22 15:10:19,new business quote request : framexpress ltd : renewal date 05/07/23
